Game,Year,NumberOfCountries,AttendingCountriesNOC,MaxMedalCountry,MaxMedalCount,RunnerUpMedalCountry,RunnerUpMedalCount,GameCountryNOC,City,Citylat,CityLon
1896 Summer,1896,12,"AUS, AUT, DEN, FRA, GBR, GER, GRE, HUN, ITA, SUI, SWE, USA",GER,25,FRA,5,GRE,Athens,37.98381,23.727539
1900 Summer,1900,31,"ARG, AUS, AUT, BEL, BOH, BRA, CAN, COL, CUB, DEN, ESP, FRA, GBR, GER, GRE, HAI, HUN, IND, IRI, ITA, LUX, MEX, NED, NOR, NZL, PER, ROU, RUS, SUI, SWE, USA",GBR,59,SUI,16,FRA,Paris,48.864716,2.349014
1904 Summer,1904,15,"AUS, AUT, CAN, CUB, FRA, GBR, GER, GRE, HUN, ITA, NFL, NOR, RSA, SUI, USA",USA,128,CAN,27,USA,ST. Louis,38.627,90.1994
1906 Summer,1906,21,"AUS, AUT, BEL, BOH, CAN, CRT, DEN, EGY, FIN, FRA, GBR, GER, GRE, HUN, ITA, NED, NOR, SUI, SWE, TUR, USA",GRE,24,ITA,21,GRE,Athens,37.98381,23.727539
1908 Summer,1908,22,"ANZ, ARG, AUT, BEL, BOH, CAN, DEN, FIN, FRA, GBR, GER, GRE, HUN, ISL, ITA, NED, NOR, RSA, RUS, SUI, SWE, USA",GBR,147,SWE,48,GBR,London,51.5074,0.1278
1912 Summer,1912,29,"ANZ, AUT, BEL, BOH, CAN, CHI, DEN, FIN, FRA, GBR, GER, GRE, HUN, ISL, ITA, JPN, LUX, NED, NOR, POL, POR, RSA, RUS, SRB, SUI, SWE, TUR, UNK, USA",SWE,103,GBR,47,SWE,Stockholm,59.3293,18.0686
1920 Summer,1920,29,"ARG, AUS, BEL, BRA, CAN, CHI, DEN, EGY, ESP, EST, FIN, FRA, GBR, GRE, IND, ITA, JPN, LUX, MON, NED, NOR, NZL, POR, RSA, SUI, SWE, TCH, USA, YUG",USA,111,ITA,67,BEL,Antwerp,51.2194,4.4025
1924 Summer,1924,46,"ARG, AUS, AUT, BEL, BRA, BUL, CAN, CHI, CUB, DEN, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRE, HAI, HUN, IND, IRL, ITA, JPN, LAT, LTU, LUX, MEX, MON, NED, NEP, NOR, NZL, PHI, POL, POR, ROU, RSA, RUS, SUI, SWE, TCH, TUR, URU, USA, YUG",USA,98,FRA,37,FRA,Paris,48.864716,2.349014
1928 Summer,1928,46,"ARG, AUS, AUT, BEL, BUL, CAN, CHI, CUB, DEN, EGY, ESP, EST, FIN, FRA, GBR, GER, GRE, HAI, HUN, IND, IRL, ITA, JPN, LAT, LTU, LUX, MEX, MLT, MON, NED, NOR, NZL, PAN, PHI, POL, POR, ROU, RSA, SUI, SWE, TCH, TUR, URU, USA, YUG, ZIM",USA,53,ITA,24,AHO,Amsterdam,52.3676,4.9041
1932 Summer,1932,47,"ARG, AUS, AUT, BEL, BRA, BUL, CAN, CHN, COL, CUB, DEN, ESA, ESP, EST, FIN, FRA, GBR, GER, GRE, GUA, HAI, HUN, IND, IRL, ITA, JPN, LAT, LUX, MEX, MON, NED, NOR, NZL, PER, PHI, POL, POR, ROU, RSA, SUI, SWE, TCH, TUR, URU, USA, VEN, YUG",USA,91,FRA,28,USA,Los Angeles,34.0522,118.2437
1936 Summer,1936,50,"AFG, ARG, AUS, AUT, BEL, BER, BOL, BRA, BUL, CAN, CHI, CHN, COL, CRC, DEN, EGY, ESP, EST, FIN, FRA, GBR, GER, GRE, HUN, IND, ISL, ITA, JPN, LAT, LIE, LUX, MEX, MLT, MON, NED, NOR, NZL, PER, PHI, POL, POR, ROU, RSA, SUI, SWE, TCH, TUR, URU, USA, YUG",GER,97,GBR,24,GER,Berlin,52.52,13.405
1948 Summer,1948,61,"AFG, ARG, AUS, AUT, BEL, BER, BRA, BUL, CAN, CHI, CHN, COL, CUB, DEN, EGY, ESP, FIN, FRA, GBR, GRE, GUY, HUN, IND, IRI, IRL, IRQ, ISL, ITA, JAM, KOR, LIB, LIE, LUX, MEX, MLT, MON, MYA, NED, NOR, NZL, PAK, PAN, PER, PHI, POL, POR, PUR, ROU, RSA, SGP, SRI, SUI, SWE, SYR, TCH, TTO, TUR, URU, USA, VEN, YUG",USA,93,FRA,28,GBR,London,51.5074,0.1278
1952 Summer,1952,69,"AHO, ARG, AUS, AUT, BAH, BEL, BER, BRA, BUL, CAN, CHI, CHN, CUB, DEN, EGY, ESP, FIN, FRA, GBR, GER, GHA, GRE, GUA, GUY, HKG, HUN, INA, IND, IRI, IRL, ISL, ISR, ITA, JAM, JPN, KOR, LIB, LIE, LUX, MEX, MON, MYA, NED, NGR, NOR, NZL, PAK, PAN, PHI, POL, POR, PUR, ROU, RSA, SAA, SGP, SRI, SUI, SWE, TCH, THA, TTO, TUR, URS, URU, USA, VEN, VNM, YUG",USA,87,URS,36,FIN,Helsinki,60.1699,24.9384
1956 Winter,1956,75,"AFG, ARG, AUS, AUT, BAH, BEL, BER, BOL, BRA, BUL, CAM, CAN, CHI, COL, CUB, DEN, EGY, ESP, ETH, FIJ, FIN, FRA, GBR, GER, GRE, GUY, HKG, HUN, INA, IND, IRI, IRL, ISL, ISR, ITA, JAM, JPN, KEN, KOR, LBR, LIB, LIE, LUX, MAL, MEX, MYA, NBO, NED, NGR, NOR, NZL, PAK, PER, PHI, POL, POR, PUR, ROU, RSA, SGP, SRI, SUI, SWE, TCH, THA, TPE, TTO, TUR, UGA, URS, URU, USA, VEN, VNM, YUG",URS,94,USA,63,ITA,Cortina,46.5405,12.1357
